"","Sample 1
Control
./","Sample 2
Tetr
./","Sample 3
Control
./","Sample 4
Tetr
./","Sample 5
Control
./","Sample 6
Tetr
./","Sample 7
Control
./","Sample 8
Tetr
./"
"P16144",-0.690722782111433,0.484818575266764,0.149681588299534,-0.255077408744744,0.141733049654401,-0.254019462927547,-0.0176507499798777,0.441237190542903
"P16435",-1.18102810382764,-0.810591110456041,0.0344019924993588,-0.678298518478778,0.352725174473527,0.8740897588939,-0.532711535649063,1.94141234254473
"P17174",-0.99683828328265,-0.0570782177861195,0.281343088751602,-0.0145343825506083,0.650683666837538,-0.498878821259186,-0.0837246167496125,0.719027566039036
"P17655",-0.143189128563324,-0.650505205296851,1.17469541324677,-0.550200054888358,-1.0530603542567,-0.00388938962551055,0.536761380499509,0.68938733888447
"P18621",-1.70422150893345,0.189821019676299,0.781634231064445,-1.17051296933458,0.00618560943087099,0.398767708315612,0.38780732354278,1.11051858623802
"P20645",-0.121981959036261,-0.19640254867295,0.658211244156246,-0.346229666543702,-0.487053699229496,0.287226429278522,-0.38547072851903,0.591700928566671
"P20810",1.658233772483,-0.391965693994804,0.100232237312099,-0.0547109750919204,-0.297083887866936,-0.342676181150706,-1.13057666856854,0.458547396877808
"P21333",0.117044456548249,-0.188471381883258,-0.283578802918204,-1.32931761643516,0.355581681618756,0.960365961153936,1.28941185123287,-0.921036149317193
"P22102",-0.892124324711475,0.0622856687269664,0.780254810889552,-0.180009781884941,0.215023197398047,-0.907070292727839,0.708226344967384,0.213414377342307
"P23193",0.342263288651279,-0.268113002237928,-0.23835338400971,0.275740930760255,0.452738455803202,-0.165594643024158,-0.222478243175845,-0.176203402767094
"P23246",-0.654889648239039,0.23964653871015,0.428715210110314,-0.435220033659391,0.179540997656772,-0.953173455871463,0.468489148438222,0.726891242854435
"P23588",0.806397707002433,-0.55731769340163,-0.22624054983134,0.231858982932806,-0.297856143999603,-0.29084490784869,-0.131841238562981,0.465843843709005
"P24752",-0.267107965361686,-0.00216906741133793,0.278281690229551,-0.374776276548776,-0.186282834062637,-0.148368475184214,0.853317776106924,-0.152894847767824
"P25311",0.295636790517282,-0.503644319363129,-0.108879302596796,-0.243076209146988,-0.254905942458464,0.594548941000834,0.696548644970828,-0.476228602923566
"P26378, Q12926, Q15717",-1.48650219892171,0.435445939989317,0.732619195822025,-0.472219925449175,-0.143600888086266,-0.161167102299893,0.497742989751302,0.597681989194407
"P26447",3.00891162671524,1.09985109683458,0.0279130141254973,1.79208876643891,-2.34874191178206,-1.39988780566255,0.673807396465211,-2.85394218313484
"P27105, Q8TAV4",-1.3905403974209,0.368827069446628,-1.08276628693267,0.188784027070744,0.15979214088445,1.18962819233741,0.579091411823102,-0.0128161572087693
"P27361",-0.551741564169552,-0.367645773001579,0.475134857759389,-1.15512085835051,-0.388620029501436,1.12552429073945,0.509833076307144,0.352636000217099
"P27708",-0.228204936042024,-0.684031259737521,0.112331765722433,0.0607025868632797,-0.491351080676666,0.100107640516962,0.168485510774178,0.961959772579358
"P28070",-1.24476601802582,-0.290165346246824,0.25157631398695,-0.0435601459662863,-0.274667798382158,0.536278363850285,0.52871653829689,0.536588092486963
"P29466",-0.341911541242785,0.240936364287926,0.634052954766318,-0.301215499432249,-0.668642154524507,-0.068084211350161,0.240054743425759,0.264809344069699
"P30101",-0.861522656304159,-0.447605721158244,0.329047841649574,0.249885155210138,0.471514031431251,0.250138608429882,0.220235612606405,-0.211692871864848
"P35579",-0.628736302849198,0.108716349390817,0.300652948483457,-0.71136590004802,0.317038012698274,0.0011026611062448,0.76653036252763,-0.153938131309204
"P35580, P35749, Q7Z406",-0.534517448341302,0.0663030836325256,-0.728836732057412,-1.06433274188735,-0.19668473506662,1.88469845657069,0.814605058732153,-0.241234941582682
"P35613",0.00166199171336201,-1.14738619154614,0.381295200405205,0.533183729159162,-0.600434928542789,0.259076208813982,-0.243883243226071,0.816487233223288
"P36543",0.0846477947854865,-1.24331769640437,0.0997418535562536,0.25729596393472,0.239313397636977,-0.159334667135265,-0.185901862530384,0.907555216156583
"P37802",0.979622103847223,1.01323337152499,0.0232215902528796,0.951363425478858,0.639586525142138,-2.61529259182804,0.198098930724831,-1.18983335514288
"P38117",0.0163476164887686,0.0675869770157806,0.458061478177655,-0.565181561373534,0.013936083687434,-0.137169658602816,-0.442674703594879,0.58909376820159
