"Proteins","log(fold-change) Treatment.1-Control","p-values Treatment.1-Control","q-values Treatment.1-Control"
"P12814","0.933880764158752","0.0991054318582919","0.575372670019949"
"P13010","0.488498921527084","0.356492642101333","0.688228897810429"
"P13639","0.258681158147796","0.634052015402","0.808674680062364"
"P13646","0.316495730955919","0.708397326152117","0.853301064848422"
"P13647","1.12690565690026","0.156369335168316","0.575372670019949"
"P14618","-0.634939667710145","0.261639008590662","0.657210567263038"
"P15531, P22392","0.324556706499764","0.441302569149239","0.688228897810429"
"P15924","1.95881073761958","0.00432804288889378","0.231335311719936"
"P16144","0.15565001364494","0.719717308723738","0.856364169726438"
"P16435","1.29203664379904","0.0267197971432578","0.397725683543578"
"P17174","0.393553897433888","0.404880571251159","0.688228897810429"
"P17655","0.0845994877508831","0.874153319206227","0.859804177571338"
"P18621","0.958466097260212","0.0966551734546892","0.575372670019949"
"P20645","0.00320146504833317","0.994293882582504","0.881926668630035"
"P20810","-0.655894670354189","0.224228713168697","0.634865782393025"
"P21333","0.842161672344187","0.130131364107848","0.575372670019949"
"P22102","0.114796813489949","0.817449939013773","0.859804177571338"
"P23193","-0.0557689165819477","0.893688936237722","0.860306333713314"
"P23246","0.25395843071165","0.600696898223315","0.776280775395247"
"P23588","-0.111760181628222","0.802891992345839","0.859804177571338"
"P24752","0.182885809546125","0.673540000422947","0.82321283508611"
"P25311","0.279981520294816","0.532975181090954","0.727296231419992"
"P26378, Q12926, Q15717","0.395328494279774","0.450181283145909","0.688228897810429"
"P26447","-2.96438225205711","0.000945727630637063","0.184546777700788"
"P27105, Q8TAV4","0.957847793918096","0.0747255882614981","0.575372670019949"
"P27361","0.799686668881129","0.114817834045604","0.575372670019949"
"P27708","0.369600921596916","0.415784713855569","0.688228897810429"
"P28070","0.663457598125991","0.162170378319171","0.575372670019949"
"P29466","-0.115931139189605","0.792424740866195","0.859804177571338"
"P30101","0.359837059659494","0.421223136711514","0.688228897810429"
"P35579","0.413648600937702","0.328802137238327","0.688228897810429"
"P35580, P35749, Q7Z406","1.07740180503484","0.0548893735952439","0.535548328020903"
"P35613","0.131290683778412","0.793328443228893","0.859804177571338"
"P36543","0.400816042063956","0.406227500104272","0.688228897810429"
"P37802","-1.55809189788159","0.0212545206561722","0.345629225195028"
"P38117","0.0590821536230762","0.892421550927129","0.860306333713314"
"P39023","1.4710094025138","0.0345747994976567","0.397725683543578"
"P39023, Q92901","-0.111036839400656","0.868970707788485","0.859804177571338"
"P39060","-0.277637637753289","0.648344948586546","0.81503634785389"
"P41250","0.810833097615023","0.146035174018552","0.575372670019949"
"P42167","0.382884410411207","0.451440536973923","0.688228897810429"
"P42285","0.508866246116869","0.266048512981822","0.657210567263038"
"P43246","0.703072442381817","0.138310817269027","0.575372670019949"
"P46087","0.549154770027573","0.307181199858113","0.688228897810429"
"P46940","0.322260990027635","0.455287105347314","0.688709429114155"
"P47897","0.093186091704472","0.855068135105266","0.859804177571338"
"P48643","0.095355373113964","0.850227491802717","0.859804177571338"
"P49662, P51878","-0.293336692980454","0.521931315970661","0.71987898600198"
"P49736","1.59559445912246","0.00906848712988732","0.257998790567062"
"P49915","0.823891359063775","0.161840999220529","0.575372670019949"
"P50135","-1.37095020427813","0.029327919125763","0.397725683543578"
"P50453","1.01213801685231","0.126089919728361","0.575372670019949"
"P50552","-0.407621891140971","0.382742292851681","0.688228897810429"
"P50851","0.0491439771175881","0.916299061353528","0.867981382825612"
"P52272","0.2611345852021","0.607073263284064","0.779359631743827"
"P52789","0.198412883784489","0.64991598540203","0.81503634785389"
"P53396","0.396810532532006","0.482086287502464","0.695863673023473"
"P53634","1.34187883702994","0.0199187031322384","0.345629225195028"
"P53675, Q00610","0.107603848113011","0.828612969223151","0.859804177571338"
"P55084","0.023660481018056","0.958173212973828","0.870544047708223"
"P57088","0.479856848872249","0.350767396887219","0.688228897810429"
"P60842","0.394613186243474","0.403416404112168","0.688228897810429"
