"","Control","Control","Control","Control","Treatment","Treatment","Treatment","Treatment"
"P00505",-0.259198399750225,-0.206333723865037,1.75206264085529,0.205616219591309,-0.333467634741194,-1.84233900170918,-0.423798609697365,1.1074585093164
"P01009",0.369040617494559,-0.0989317271098678,0.324618134766254,-0.614513890183627,0.120456467381739,-0.882524302492949,0.289536951790446,0.492317748353445
"P01591",-0.48579078751844,-0.1792338688599,-0.544838678752951,1.04990677225881,-0.128268867287077,0.944840773511876,-0.889581074087229,0.232965730734916
"P02042, P68871",1.40122229483789,-0.146586738316727,-1.449319258061,2.84757350339557,-0.228086843054178,-0.51184911175241,-0.620485320618169,-1.29246852643097
"P02533, P08779",-1.56374172901189,-0.160894105343605,-0.415398535499588,1.11125018788402,-0.449371021957708,0.993765261514308,-0.5187166379386,1.00310658035307
"P02545",-0.154367724107177,0.391476768247898,0.493102728212275,-0.807292250073552,-0.0492010353193386,-1.17754648915138,0.462140908889024,0.84168709330225
"P02768",0.462249072449421,0.442761898493218,-0.11168142668967,-0.173099070263388,-0.399471608630275,-0.513623847477678,0.461332029186922,-0.168467047068548
"P04040",0.394211069369886,0.162777771373105,-0.086324229097853,0.708236658680333,-0.840722729459412,-0.355113281671053,0.230215405371475,-0.213280664566479
"P04196",-0.721034498621266,0.622443533000232,0.800554093005917,-0.534074280069784,-0.936504425092933,-0.351834551982186,0.751733459085777,0.368716670674243
"P04908, P0C0S5, P0C0S8, P16104, P20671, Q16777, Q6FI13, Q71UI9, Q7L7L0, Q8IUE6, Q93077, Q96KK5, Q96QV6, Q99878, Q9BTM1",-0.355170395672372,-0.0218570596590388,-0.00566730431529594,-0.537999419376964,0.384464396079695,0.123512169133481,-0.19002149744575,0.602739111256245
"P05141, P12235, P12236",-1.06053444151629,-0.0396848098362073,0.24943384508116,-0.69233023443174,-0.126372623866243,1.12634676204138,0.253545073192033,0.289596429335904
"P05141, P12235, P12236, Q9H0C2",-0.873476077207547,0.287563030490849,0.385271288406958,-0.396993308905706,-0.0985780552196478,0.381354470600824,0.277110832480866,0.0377478193534038
"P05164",0.65044244857329,-0.989003105197683,-1.10332409932109,0.27431195385964,0.100731796568431,2.89420271667823,-0.600061318724554,-1.22730039243627
"P05165",0.427061349237871,0.528348108670656,0.65249696477163,0.00787118620540372,-0.219405360916539,-0.85360454859818,-0.176696129043189,-0.366071570327654
"P05413",0.666466112005649,-1.0551055169142,-0.0245885011057667,0.373285018445601,-1.01351868360982,-0.894350217300357,2.56217401343701,-0.614362224958124
"P05455",-0.84133274874102,-0.107032589315062,0.33618620093555,-0.338198477754593,0.0749170667625028,0.125599360326123,0.146736146725335,0.603125041061166
"P06454",0.655851701647578,-0.0944975715488452,-0.494791432011441,0.104234643456331,0.516830537330446,-1.04451039035102,-0.286874539024427,0.64375705050138
"P06733",-0.628653680497558,-0.707126997227883,1.3666880984859,-0.850237442485658,0.0820345469202537,-0.42712581667584,0.753115784372088,0.411305507108696
"P06744",-0.214269852055524,-0.384204684856375,1.31099609366939,-0.35106369616554,-0.382769740272848,-0.522089964934439,-0.100043662803834,0.643445507419172
"P07305",-1.53598713536811,0.143593540273159,0.404518719727573,-0.882285815857546,-0.699903726981594,-0.0286498171243088,-0.213830125047378,2.81254436037821
"P07384",-0.220497709770202,0.144470622911556,0.814739649246703,0.209976127528753,-0.223843328747087,-1.16185942848094,-0.878028507375995,1.31504257468722
"P07947",-1.04076782213225,0.163949551000937,0.838046112019918,-1.3534918523871,0.0108542413801258,0.806798823161096,1.08536186588187,-0.510750918924596
"P08559",0.583576824023926,0.21907568675359,-0.0110946423184748,-0.845357943278722,0.558204416179804,-0.362653991528853,0.179857329715793,-0.321607679547065
