	iTRAQ8.113	iTRAQ8.114	iTRAQ8.115	iTRAQ8.116	iTRAQ8.117	iTRAQ8.118	iTRAQ8.119	iTRAQ8.121
P24752	-3.32033891723951	-3.05540001928916	-2.77494926164827	-3.4280072284266	-3.23951378594046	-3.20159942706204	-2.1999131757709	-3.20612579964565
P25311	-2.77346711134927	-3.57274822122968	-3.17798320446335	-3.31218011101354	-3.32400984432501	-2.47455496086572	-2.37255525689572	-3.54533250479012
P26378, Q12926, Q15717	-4.62671762364027	-2.70476948472924	-2.40759622889653	-3.61243535016773	-3.28381631280482	-3.30138252701845	-2.64247243496725	-2.54253343552415
P26447	-1.07723196246889	-2.98629249234955	-4.05823057505863	-2.29405482274522	-6.43488550096619	-5.48603139484668	-3.41233619271892	-6.94008577231897
P27105, Q8TAV4	-4.58711273329361	-2.82774526642608	-4.27933862280538	-3.00778830880196	-3.03678019498826	-2.0069441435353	-2.61748092404961	-3.20938849308148
P27361	-3.71246239121857	-3.5283666000506	-2.68558596928963	-4.31584168539954	-3.54934085655046	-2.03519653630957	-2.65088775074188	-2.80808482683192
P27708	-3.30802878380398	-3.76385510749948	-2.96749208203953	-3.01912126089868	-3.57117492843863	-2.979716207245	-2.91133833698778	-2.1178640751826
P28070	-4.34416222161698	-3.38956154983799	-2.84781988960421	-3.14295634955745	-3.37406400197332	-2.56311783974088	-2.57067966529427	-2.5628081111042
P29466	-3.39498094610083	-2.81213304057011	-2.41901645009172	-3.35428490429029	-3.72171155938255	-3.1211536162082	-2.81301466143228	-2.78826006078834
P30101	-3.93322404423178	-3.51415590351739	-2.71601719321547	-2.80111130129144	-2.5745520460505	-2.8074062083415	-2.85356239446641	-3.28963955475967
P35579	-3.35170056202113	-3.0473875775064	-2.90476933366359	-3.68638037787093	-2.68415086123957	-2.99051285878457	-2.50269442773748	-3.15828529954963
P35580, P35749, Q7Z406	-3.86354763416171	-3.2647087799245	-4.0302395522735	-4.26848079069974	-3.52120613694942	-1.42274525059912	-2.51623329119911	-3.65718485817244
P35613	-3.11336211302777	-4.27096266824095	-2.76241284820058	-2.58887462088696	-3.74328871244054	-2.83495416918069	-3.35768731507389	-2.27451931854749
P36543	-3.01641040548552	-4.34437589667538	-3.00131634671475	-2.84376223633628	-2.86174480263403	-3.26039286740627	-3.28696006280139	-2.19350298411442
P37802	-2.29965259622772	-2.29872371640439	-3.32106949251277	-2.41979032234125	-2.85828573619595	-6.01836904472329	-3.19542712588012	-4.49952181221313
P38117	-3.13482569015378	-2.97739884867049	-2.58682368628992	-3.61867232984442	-3.00292010385426	-3.17499357086029	-3.47732816778624	-2.42615009796552
P39023	-6.26141819558826	-2.89004700397702	-3.01999119356931	-4.2006571044805	-3.25700694991059	-2.50487689462094	-2.59123989591596	-2.13495214711242
P39023, Q92901	-3.66069345451121	-2.4696560937469	-2.15736991121032	-4.81402009154646	-3.33813938995628	-5.10636514545559	-2.92287336248894	-2.1785090107167
P39060	-3.66649237411211	-1.83353315488229	-3.33817468638729	-3.81008257805861	-3.14810735990946	-3.96474560379945	-1.9748676479334	-4.67111273281115
P41250	-4.26576241989372	-3.89239024230803	-3.00497594252407	-3.4384019273343	-4.14175854935138	-3.20774449864514	-2.06757332494202	-1.94112176866148
P42167	-4.03790248250107	-2.98484116452724	-2.77141493423658	-3.58302575070836	-2.68696255464402	-3.60715526298605	-3.63624584614585	-1.91528302655251
P42285	-3.99607504622722	-3.08753562349491	-2.68448707280642	-3.57065058008807	-2.45116997345704	-3.19551850323431	-3.13413593776362	-2.52245892369418
P43246	-3.80503871574478	-3.20979871717535	-2.82484087868689	-4.02164181243628	-3.13493701507718	-3.27222489856684	-2.29828607671045	-2.34358236416156
P46087	-3.92968884169177	-3.12600904258469	-2.6920371086221	-4.13238097640657	-2.68846683324049	-4.02507620831654	-3.1118785593535	-1.85807528828432
P46940	-3.75826891291457	-3.28873584657932	-2.79823028112439	-2.98483889166195	-2.43313109521441	-2.93972476011719	-3.28742115547556	-2.88075296136252
P47897	-3.7393361450578	-2.75738996108649	-2.18558957969821	-4.04527353352056	-3.88787775002838	-2.96029380537999	-2.99543289001255	-2.51124040712425
P48643	-3.5506535375771	-2.85201634309506	-2.36346575196355	-3.93770187189494	-3.29823829146109	-3.99889016835966	-2.6629918022767	-2.36229574997735
P49662, P51878	-2.81759312847383	-2.92564355004969	-2.48110902448514	-3.47621390807779	-3.99146999790816	-2.65621532869637	-2.8158705717881	-3.41035048461564
P49736	-5.16735475658872	-3.45909496244852	-3.04892745835276	-4.91061344321885	-2.86242314862842	-3.13733372219673	-2.40198361288922	-1.80187230040464
P49915	-4.49520225398058	-3.28574831080301	-2.49362613903551	-4.45684737777395	-3.39883573494891	-3.82564993825666	-2.09894232491145	-2.11243064722092
P50135	-2.3890777760857	-2.81769936685484	-1.33697899534396	-4.55018762400212	-4.21139473790113	-3.92620489493651	-3.9673722577657	-4.47277268879582
P50453	-4.01891467861161	-3.37390306672266	-3.54826513156564	-5.09919293255088	-3.93771266287161	-4.15884510227189	-1.12099671128691	-2.77416926561115
P50552	-3.5300689337337	-2.66238824641368	-2.37811604531274	-2.95226765179929	-3.28692319795781	-2.76150410446132	-2.98158733586781	-4.12331380353634
